routine	key	size	epopenblas-omp1	epopenblas-omp4	parallel-blas-omp1	parallel-blas-omp4	migrated-serial	mig_par_omp1	mig_par_omp4	mig_ep_omp1	mig_ep_omp4
egbmv	T/x2	256	2.0226	2.0038	2.0539	2.0403	2.0532	2.0532	2.0379	2.0362	2.0242
egbmv	T/x2	512	1.9490	2.3663	1.8473	1.9812	1.9621	1.9621	1.9803	1.9636	1.9688
egbmv	T/x2	1024	1.9186	3.0353	1.9900	1.9479	1.8795	1.8795	1.9467	1.9428	1.9303
egbmv	T/x2/y-1	128	2.0619	1.9900	1.5026	2.0850	2.0136	2.0136	2.0933	2.0813	2.0320
egbmv	T/x2/y-1	256	2.0152	2.0011	2.1109	2.0571	2.0504	2.0504	2.0459	2.0470	2.0341
egbmv	T/x2/y-1	512	1.8384	2.3440	2.0382	1.9798	2.0226	2.0226	1.9804	1.9552	1.9582
egbmv	T/x2/y-1	1024	1.9228	2.6726	1.9899	1.9216	1.9860	1.9860	1.8787	1.9200	1.9439
egbmv	T/x2/y2	128	2.0514	2.0565	2.1515	2.0982	2.1447	2.1447	2.0871	2.0870	2.0804
egbmv	T/x2/y2	256	2.0167	1.9969	2.1122	2.0548	2.1002	2.1002	2.0438	2.0448	2.0312
egbmv	T/x2/y2	512	1.9489	2.3031	2.0321	1.9912	1.9083	1.9083	1.9686	1.9594	1.9377
egbmv	T/x2/y2	1024	1.9268	2.7759	2.0036	1.9611	1.9824	1.9824	1.9558	1.8878	1.8972
egbmv	T/y-1	128	2.1375	2.1068	2.0862	2.1004	2.0744	2.0744	2.0813	2.1314	2.0925
egbmv	T/y-1	256	2.1000	2.0544	2.1108	2.0602	2.0926	2.0926	2.0460	2.0479	2.0374
egbmv	T/y-1	512	1.9773	2.3081	2.0396	1.9991	2.0216	2.0216	1.9851	1.9785	1.9901
egbmv	T/y-1	1024	1.9259	2.9666	2.0026	1.9607	1.9752	1.9752	1.9962	1.9798	1.9877
egbmv	T/y2	128	2.2778	2.1815	2.1569	2.1010	2.1155	2.1155	2.0880	2.2228	2.1161
egbmv	T/y2	256	2.2541	2.1300	2.1152	2.0602	2.0874	2.0874	2.0478	2.1960	2.0689
egbmv	T/y2	512	2.1609	2.3168	2.0407	1.9939	1.9267	1.9267	1.9891	1.9463	2.0266
egbmv	T/y2	1024	2.0132	2.9600	2.0053	1.9577	1.9523	1.9523	1.9513	1.9346	1.9433
egemm	NN	64	2.7445	5.1241	2.6411	1.8439	1.8263	1.8263	1.8438	1.8016	1.8043
egemm	NN	128	2.9125	7.2396	2.7797	2.5021	1.9307	1.9307	1.9377	1.8023	1.8394
egemm	NN	256	3.0142	10.9342	2.9827	3.8139	1.9450	1.9450	1.9018	1.8921	1.9221
egemm	NN	512	2.9215	11.6503	3.1038	11.1824	1.9599	1.9599	1.9437	1.0136	1.9174
egemm	NT	64	2.8094	5.9674	2.8898	1.5472	1.9189	1.9189	1.6879	1.8354	1.7970
egemm	NT	128	2.9847	9.2506	2.9877	2.6177	1.9322	1.9322	1.8630	1.8618	1.8644
egemm	NT	256	3.0782	10.9250	3.0240	3.8623	1.9162	1.9162	1.9240	1.9455	1.9055
egemm	NT	512	3.0033	11.6404	3.0921	10.9601	1.9317	1.9317	1.8817	1.8755	1.9143
egemm	TN	64	1.8725	4.2411	2.2259	4.7613	2.2972	2.2972	2.2323	2.1207	2.2465
egemm	TN	128	2.8967	9.7624	2.0700	7.2029	2.1514	2.1514	2.1644	2.0495	2.1162
egemm	TN	256	3.0466	10.9673	2.1658	7.7448	2.1604	2.1604	2.0662	2.0567	2.0554
egemm	TN	512	2.9838	11.5632	2.1461	8.0289	2.1343	2.1343	2.1328	2.0732	2.1314
egemm	TT	64	2.8079	6.3213	2.7728	1.5543	2.1038	2.1038	1.9105	2.0167	2.0114
egemm	TT	128	2.9872	9.3489	2.8612	2.6258	1.4295	1.4295	1.4849	1.3376	1.5302
egemm	TT	256	3.1679	10.7652	3.0062	3.8717	1.1300	1.1300	1.2312	1.1303	1.1859
egemm	TT	512	3.1865	11.6499	3.1153	7.8514	1.0932	1.0932	1.1934	1.1127	1.1769
egemmtr	LNN	64	1.6629	1.5881	2.4961	1.3522	1.6534	1.6534	1.5120	1.6461	1.5834
egemmtr	LNN	128	1.6751	1.6482	2.8027	2.6319	1.7184	1.7184	1.5915	1.7212	1.6482
egemmtr	LNN	256	1.7484	3.0278	3.0134	5.8659	1.7563	1.7563	1.6572	1.7590	1.6662
egemmtr	LNN	512	1.7415	4.5388	3.0399	8.0855	1.7524	1.7524	1.7315	1.7390	1.7084
egemmtr	LNT	64	0.9810	1.0561	2.5702	1.1551	1.4238	1.4238	1.5496	1.5792	1.6414
egemmtr	LNT	128	1.0790	1.0884	2.8665	2.5395	1.7235	1.7235	1.7042	1.7127	1.7042
egemmtr	LNT	256	1.1003	2.1308	3.0341	5.9244	1.7539	1.7539	1.6577	1.7237	1.6409
egemmtr	LNT	512	1.0936	3.0833	3.0235	7.9085	1.7352	1.7352	1.6993	1.7153	1.6592
egemmtr	LTN	64	2.5607	2.6018	2.4448	1.2197	2.3553	2.3553	2.1625	2.3087	2.2911
egemmtr	LTN	128	2.6824	2.0530	2.7883	2.7997	2.1763	2.1763	2.0794	2.1572	2.1717
egemmtr	LTN	256	2.4085	4.9616	3.0032	5.9625	2.1570	2.1570	2.0457	2.0505	2.0663
egemmtr	LTN	512	2.6343	7.7703	3.0576	8.0553	2.1695	2.1695	2.0268	2.1610	2.1374
egemmtr	LTT	64	1.8716	1.8341	2.5187	1.2660	1.9069	1.9069	2.0428	2.0853	2.0254
egemmtr	LTT	128	1.4267	0.9979	2.7784	2.6538	1.4353	1.4353	1.5198	1.4160	0.5276
egemmtr	LTT	256	1.1233	2.8315	2.9613	5.9321	1.1233	1.1233	1.1848	1.1433	1.0756
egemmtr	LTT	512	1.1015	3.4307	2.8850	8.0058	1.1020	1.1020	1.2027	1.0988	1.1004
egemmtr	UNN	64	1.6101	1.5860	1.8454	1.1602	1.5292	1.5292	1.5346	1.5567	1.5179
egemmtr	UNN	128	1.6345	1.7055	2.6192	2.8539	1.5860	1.5860	1.6114	1.6072	1.6098
egemmtr	UNN	256	1.6696	2.9639	2.8193	5.8483	1.6774	1.6774	1.6567	1.7312	1.6764
egemmtr	UNN	512	1.7388	4.4621	2.9689	8.0435	1.7154	1.7154	1.7278	1.7583	1.6877
egemmtr	UNT	64	1.0546	0.9845	2.4026	1.3018	1.5631	1.5631	1.6041	1.6631	1.5307
egemmtr	UNT	128	1.0582	1.0489	2.6794	2.8790	1.6191	1.6191	1.6561	1.7250	1.7115
egemmtr	UNT	256	1.0956	1.9548	2.9364	5.7519	1.7261	1.7261	1.6596	1.7550	1.6466
egemmtr	UNT	512	1.0889	3.0096	2.9778	7.8737	1.7218	1.7218	1.7106	1.7422	1.7240
egemmtr	UTN	64	2.5145	2.5916	2.3903	1.3470	2.2996	2.2996	2.1690	2.3548	2.3536
egemmtr	UTN	128	2.7561	2.1573	2.6127	3.2282	2.1580	2.1580	2.1097	2.1994	2.1464
egemmtr	UTN	256	2.5744	5.0016	2.8245	5.7895	2.1194	2.1194	2.0755	2.1559	2.0537
egemmtr	UTN	512	2.6398	7.8311	2.4626	8.1005	1.0779	1.0779	2.0960	2.1899	2.1456
egemmtr	UTT	64	1.8891	1.9074	2.4499	1.2284	2.0303	2.0303	1.9593	2.1068	2.0227
egemmtr	UTT	128	1.4773	1.4414	1.2352	2.7157	0.6694	0.6694	1.4978	1.5004	1.3855
egemmtr	UTT	256	1.0976	2.8986	1.7662	6.0391	1.1395	1.1395	1.1663	1.1397	1.0741
